TOKEN       LEXEME
------------------
TAGIDENT    <table
GTHAN       >
TAGIDENT    <tr
GTHAN       >
TAGIDENT    <th
GTHAN       >
IDENT       particulars
ENDTAGHEAD  </
IDENT       th
GTHAN       >
TAGIDENT    <th
GTHAN       >
IDENT       amount
ENDTAGHEAD  </
IDENT       th
GTHAN       >
ENDTAGHEAD  </
IDENT       tr
GTHAN       >
TAGIDENT    <tr
GTHAN       >
TAGIDENT    <td
GTHAN       >
IDENT       ballpen
ENDTAGHEAD  </
IDENT       td
GTHAN       >
TAGIDENT    <td
GTHAN       >
NUMBER      10.25
ENDTAGHEAD  </
IDENT       td
GTHAN       >
ENDTAGHEAD  </
IDENT       tr
GTHAN       >
TAGIDENT    <tr
GTHAN       >
TAGIDENT    <td
GTHAN       >
IDENT       pencil
ENDTAGHEAD  </
IDENT       td
GTHAN       >
TAGIDENT    <td
GTHAN       >
NUMBER      5.55
ENDTAGHEAD  </
IDENT       td
GTHAN       >
ENDTAGHEAD  </
IDENT       tr
GTHAN       >
TAGIDENT    <tr
GTHAN       >
TAGIDENT    <td
GTHAN       >
IDENT       total  amount
ENDTAGHEAD  </
IDENT       td
GTHAN       >
TAGIDENT    <td
GTHAN       >
EQUALS      =
NUMBER      10.25
PLUS        +
NUMBER      2
MULT        *
NUMBER      5.55
ENDTAGHEAD  </
IDENT       td
GTHAN       >
ENDTAGHEAD  </
IDENT       tr
GTHAN       >
TAGIDENT    <tr
GTHAN       >
TAGIDENT    <td
GTHAN       >
IDENT       formula used
COLON       :
ENDTAGHEAD  </
IDENT       td
GTHAN       >
TAGIDENT    <td
GTHAN       >
LBRACKET    [
NUMBER      10.25
PLUS        +
NUMBER      2
MULT        *
NUMBER      5.55
RBRACKET    ]
ENDTAGHEAD  </
IDENT       td
GTHAN       >
ENDTAGHEAD  </
IDENT       tr
GTHAN       >
ENDTAGHEAD  </
IDENT       table
GTHAN       >
------------------
